from,to,weight
0,23,5
1,11,5
1,23,5
1,4,5
1,18,5
1,14,10
1,9,5
1,5,10
1,6,5
1,3,10
2,8,10
2,3,10
2,6,10
2,4,5
2,7,10
2,23,5
10,2,10
3,23,5
3,10,5
12,3,10
3,4,10
3,18,5
3,7,10
3,6,10
4,6,10
15,4,10
12,4,10
20,5,10
5,22,5
5,2,5
5,4,5
5,6,5
30,5,10
13,5,10
5,18,5
26,5,10
25,5,10
5,9,10
11,5,10
5,12,5
5,7,5
14,5,10
5,3,5
12,6,10
6,9,10
18,6,10
6,7,10
6,14,5
18,7,10
14,7,10
8,4,5
8,23,5
8,15,5
9,3,5
13,9,10
11,9,10
25,9,10
11,13,10
11,26,10
11,25,5
12,2,5
12,23,5
12,0,5
13,25,5
13,26,10
14,18,10
14,25,10
16,17,10
18,9,5
18,0,5
19,8,5
19,22,10
20,26,10
20,9,5
22,2,5
22,12,5
24,20,5
24,9,5
24,11,5
24,5,5
25,2,5
25,1,5
25,26,10
26,14,5
26,9,5
27,8,5
27,19,5
27,31,10
27,4,5
27,15,5
27,28,10
28,31,10
30,13,5
30,11,5
30,26,5
14,9,1
13,14,1
0,4,1
0,5,1
0,8,1
0,14,1
0,27,1
14,4,1
5,8,1
27,5,1
12,8,1
14,8,1
12,14,1
12,27,1
14,27,1
10,5,1
10,7,1
10,14,1
2,27,1
0,2,1
0,7,1
14,2,1
4,7,1
12,7,1
1,2,1
1,7,1
1,10,1
1,12,1
1,27,1
2,9,1
18,2,1
14,3,1
27,3,1
4,9,1
10,4,1
18,4,1
7,9,1
27,7,1
10,9,1
12,9,1
27,9,1
10,12,1
10,18,1
10,27,1
12,18,1
18,27,1
1,8,1
1,15,1
1,29,1
15,2,1
2,29,1
3,8,1
15,3,1
29,3,1
29,4,1
8,9,1
10,8,1
29,8,1
15,9,1
29,9,1
10,15,1
10,29,1
12,15,1
12,29,1
15,29,1
27,29,1
1,13,1
1,20,1
13,18,1
13,20,1
14,20,1
18,20,1
22,3,1
22,4,1
22,6,1
27,6,1
22,9,1
14,22,1
22,27,1
0,1,1
0,15,1
15,5,1
13,4,1
12,13,1
13,22,1
13,27,1
0,6,1
0,17,1
1,17,1
17,6,1
13,3,1
13,6,1
1,22,1
22,7,1
19,4,1
13,7,1
1,21,1
13,21,1
14,21,1
1,26,1
1,30,1
11,3,1
25,3,1
26,3,1
3,30,1
11,4,1
25,4,1
26,4,1
30,4,1
11,6,1
25,6,1
26,6,1
30,6,1
30,9,1
11,18,1
18,25,1
18,26,1
18,30,1
25,30,1
18,22,1
12,19,1
0,3,1
11,14,1
11,20,1
19,3,1
19,5,1
21,5,1
6,8,1
13,2,1
22,25,1
25,27,1
12,28,1
28,4,1
14,28,1
22,28,1
12,25,1
2,26,1
12,26,1
22,26,1
26,27,1
19,2,1
25,7,1
26,7,1
13,24,1
24,26,1
15,19,1
22,8,1
19,6,1
19,9,1
14,19,1
18,19,1
10,26,1
10,6,1
16,24,1
17,24,1
0,29,1
31,4,1
15,6,1
15,18,1
28,5,1
11,7,1
1,24,1
21,9,1
11,21,1
20,21,1
20,25,1
20,30,1
21,24,1
21,25,1
21,26,1
21,30,1
24,25,1
24,30,1
15,22,1
11,12,1
1,19,1
1,31,1
0,19,1
2,28,1
28,3,1
20,6,1
24,6,1
19,7,1
14,24,1
